Flight_ID,Airline,Source,Destination,Departure_Time,Arrival_Time,Delay_Minutes
F0089,Go First,CCU,MAA,2024-08-28 19:44:00,2024-08-28 21:48:00,5
F0090,Akasa Air,AMD,PNQ,2024-08-12 22:18:00,2024-08-13 00:38:00,34
F0091,Air India,MAA,PNQ,2024-08-20 21:43:00,2024-08-20 23:17:00,13
F0092,SpiceJet,BOM,HYD,2024-08-14 07:26:00,2024-08-14 09:23:00,-10
F0093,Akasa Air,CCU,DEL,2024-07-13 07:50:00,2024-07-13 09:50:00,16
F0094,Akasa Air,BOM,DEL,2024-07-31 20:57:00,2024-07-31 23:27:00,19
F0095,Akasa Air,MAA,HYD,2024-07-27 15:42:00,2024-07-27 17:05:00,40
F0096,Vistara,BLR,BOM,2024-08-09 12:39:00,2024-08-09 13:53:00,10
F0097,Go First,AMD,DEL,2024-07-25 19:13:00,2024-07-25 20:35:00,33
F0098,Akasa Air,MAA,CCU,2024-08-21 07:42:00,2024-08-21 09:42:00,36
F0099,Akasa Air,AMD,DEL,2024-08-19 14:37:00,2024-08-19 16:34:00,46
F0100,IndiGo,AMD,PNQ,2024-08-07 16:27:00,2024-08-07 18:30:00,12
F0101,Akasa Air,AMD,BOM,2024-08-14 19:41:00,2024-08-14 22:31:00,19
F0102,Akasa Air,PNQ,MAA,2024-08-10 21:37:00,2024-08-11 00:15:00,40
F0103,SpiceJet,DEL,HYD,2024-08-11 14:14:00,2024-08-11 16:05:00,16
F0104,IndiGo,HYD,CCU,2024-08-03 21:35:00,2024-08-03 23:38:00,19
F0105,IndiGo,PNQ,BLR,2024-08-15 17:11:00,2024-08-15 19:07:00,-10
F0106,IndiGo,MAA,HYD,2024-08-01 12:11:00,2024-08-01 14:00:00,4
F0107,Vistara,DEL,MAA,2024-07-05 15:51:00,2024-07-05 18:18:00,0
F0108,IndiGo,BOM,HYD,2024-07-13 14:12:00,2024-07-13 16:17:00,10
F0109,IndiGo,BOM,MAA,2024-07-14 20:23:00,2024-07-14 21:52:00,4
F0110,Air India,HYD,MAA,2024-07-07 15:34:00,2024-07-07 17:59:00,36
F0111,Go First,BLR,PNQ,2024-07-15 12:16:00,2024-07-15 13:25:00,22
F0112,SpiceJet,PNQ,BLR,2024-07-19 15:12:00,2024-07-19 17:58:00,27
F0113,SpiceJet,AMD,PNQ,2024-07-07 05:30:00,2024-07-07 07:39:00,2
F0114,Go First,PNQ,DEL,2024-07-19 13:12:00,2024-07-19 15:56:00,17
F0115,Vistara,BLR,CCU,2024-07-06 13:41:00,2024-07-06 15:12:00,37
F0116,Akasa Air,BOM,AMD,2024-07-12 21:33:00,2024-07-12 23:08:00,23
F0117,Air India,PNQ,HYD,2024-07-26 10:43:00,2024-07-26 13:18:00,24
F0118,IndiGo,MAA,PNQ,2024-07-21 14:02:00,2024-07-21 16:31:00,41
F0119,SpiceJet,DEL,BLR,2024-07-27 05:03:00,2024-07-27 06:49:00,-5
F0120,SpiceJet,PNQ,HYD,2024-08-07 13:39:00,2024-08-07 15:05:00,63
F0121,SpiceJet,MAA,BOM,2024-07-07 15:29:00,2024-07-07 16:32:00,-1
F0122,Vistara,CCU,BOM,2024-08-01 12:36:00,2024-08-01 15:12:00,9
F0123,IndiGo,MAA,CCU,2024-07-18 22:32:00,2024-07-19 00:46:00,37
F0124,Go First,DEL,PNQ,2024-07-31 12:03:00,2024-07-31 13:05:00,39
F0125,IndiGo,PNQ,HYD,2024-07-22 11:23:00,2024-07-22 12:39:00,28
F0126,IndiGo,MAA,BOM,2024-08-26 13:42:00,2024-08-26 16:24:00,23
F0127,IndiGo,BOM,HYD,2024-07-26 10:56:00,2024-07-26 12:57:00,-10
F0128,Go First,AMD,HYD,2024-07-07 20:36:00,2024-07-07 22:15:00,14
F0129,Go First,DEL,BOM,2024-07-12 14:35:00,2024-07-12 15:59:00,42
F0130,SpiceJet,DEL,MAA,2024-07-17 19:44:00,2024-07-17 22:18:00,-6
F0131,Air India,MAA,HYD,2024-07-08 07:17:00,2024-07-08 09:19:00,28
F0132,Akasa Air,DEL,BOM,2024-08-12 21:44:00,2024-08-12 23:20:00,25
F0133,Go First,HYD,BOM,2024-07-16 17:11:00,2024-07-16 18:22:00,41
F0134,Akasa Air,CCU,HYD,2024-07-07 19:48:00,2024-07-07 21:45:00,17
F0135,Vistara,CCU,BOM,2024-07-04 08:42:00,2024-07-04 11:07:00,18
F0136,Akasa Air,BLR,CCU,2024-07-08 07:43:00,2024-07-08 09:05:00,32
F0137,Vistara,MAA,AMD,2024-07-20 13:01:00,2024-07-20 14:30:00,-10
F0138,Akasa Air,HYD,DEL,2024-07-09 18:48:00,2024-07-09 20:18:00,1
F0139,Go First,BLR,CCU,2024-08-16 11:30:00,2024-08-16 14:12:00,30
F0140,SpiceJet,PNQ,HYD,2024-07-09 06:53:00,2024-07-09 08:39:00,27
F0141,Go First,DEL,BLR,2024-07-18 18:50:00,2024-07-18 21:33:00,31
F0142,Akasa Air,PNQ,AMD,2024-07-03 05:37:00,2024-07-03 06:44:00,6
F0143,SpiceJet,CCU,AMD,2024-07-20 17:20:00,2024-07-20 18:41:00,8
F0144,Vistara,PNQ,BOM,2024-07-29 19:45:00,2024-07-29 21:39:00,-10
F0145,Akasa Air,PNQ,BOM,2024-08-20 07:15:00,2024-08-20 09:54:00,18
F0146,Air India,AMD,BOM,2024-07-28 19:24:00,2024-07-28 21:14:00,14
F0147,Go First,HYD,PNQ,2024-07-23 17:32:00,2024-07-23 20:25:00,6
F0148,SpiceJet,BLR,PNQ,2024-07-24 16:51:00,2024-07-24 18:32:00,9
F0149,SpiceJet,DEL,HYD,2024-08-09 11:37:00,2024-08-09 14:23:00,4
F0150,Akasa Air,PNQ,HYD,2024-08-29 20:33:00,2024-08-29 22:34:00,-10
F0151,Air India,BLR,MAA,2024-07-18 14:50:00,2024-07-18 17:12:00,-3
F0152,Vistara,HYD,BOM,2024-07-16 08:05:00,2024-07-16 09:55:00,2
F0153,Vistara,BOM,MAA,2024-07-07 08:32:00,2024-07-07 09:51:00,11
F0154,Go First,BOM,HYD,2024-07-14 14:06:00,2024-07-14 16:36:00,6
F0155,Vistara,MAA,DEL,2024-08-24 18:31:00,2024-08-24 21:14:00,36
F0156,Akasa Air,PNQ,CCU,2024-07-21 05:44:00,2024-07-21 08:20:00,8
F0157,IndiGo,DEL,PNQ,2024-07-10 14:11:00,2024-07-10 16:37:00,-3
F0158,Akasa Air,MAA,PNQ,2024-08-20 13:40:00,2024-08-20 15:28:00,-7
F0159,Air India,MAA,AMD,2024-07-18 16:09:00,2024-07-18 17:53:00,28
F0160,IndiGo,CCU,BLR,2024-08-26 22:27:00,2024-08-26 23:57:00,-4
F0161,Go First,MAA,BOM,2024-07-27 20:12:00,2024-07-27 23:06:00,22
F0162,SpiceJet,BOM,CCU,2024-07-20 05:22:00,2024-07-20 06:58:00,23
F0163,Akasa Air,MAA,CCU,2024-07-03 14:24:00,2024-07-03 16:40:00,-3
F0164,Air India,MAA,AMD,2024-08-28 08:26:00,2024-08-28 10:24:00,20
F0165,Vistara,CCU,PNQ,2024-08-18 06:25:00,2024-08-18 08:40:00,26
F0166,Akasa Air,PNQ,MAA,2024-08-25 22:01:00,2024-08-25 23:29:00,-10
F0167,Vistara,CCU,BLR,2024-07-19 12:14:00,2024-07-19 13:38:00,12
F0168,SpiceJet,CCU,HYD,2024-07-25 09:37:00,2024-07-25 11:53:00,7
F0169,Go First,AMD,DEL,2024-08-21 18:32:00,2024-08-21 20:50:00,27
F0170,Vistara,AMD,PNQ,2024-07-30 07:14:00,2024-07-30 08:49:00,-10
F0171,Vistara,MAA,BLR,2024-08-25 09:17:00,2024-08-25 11:01:00,0
F0172,Akasa Air,PNQ,DEL,2024-08-27 20:34:00,2024-08-27 22:54:00,21
F0173,Air India,MAA,CCU,2024-07-01 11:47:00,2024-07-01 12:56:00,27
F0174,Akasa Air,DEL,BLR,2024-07-16 21:07:00,2024-07-16 23:42:00,-10
F0175,Air India,PNQ,BLR,2024-07-31 18:18:00,2024-07-31 20:19:00,12
F0176,Air India,MAA,BLR,2024-07-22 14:43:00,2024-07-22 16:36:00,37
F0177,Air India,PNQ,HYD,2024-08-26 10:28:00,2024-08-26 12:58:00,30
F0178,Go First,AMD,HYD,2024-08-29 12:06:00,2024-08-29 13:09:00,23
F0179,SpiceJet,CCU,BLR,2024-08-13 20:13:00,2024-08-13 21:32:00,-2
F0180,Air India,AMD,MAA,2024-07-31 20:39:00,2024-07-31 22:52:00,-10
F0181,Air India,CCU,BOM,2024-07-11 14:42:00,2024-07-11 17:38:00,11
F0182,Akasa Air,AMD,BOM,2024-08-19 05:27:00,2024-08-19 07:06:00,1
F0183,IndiGo,DEL,HYD,2024-07-04 13:15:00,2024-07-04 14:57:00,18
F0184,Go First,BOM,PNQ,2024-07-08 22:38:00,2024-07-09 01:09:00,52
F0185,IndiGo,DEL,PNQ,2024-07-05 05:01:00,2024-07-05 06:23:00,28
F0186,Go First,PNQ,BOM,2024-07-28 10:33:00,2024-07-28 11:46:00,12
F0187,Go First,MAA,DEL,2024-08-06 15:47:00,2024-08-06 18:45:00,16
F0188,Air India,BLR,DEL,2024-08-24 19:29:00,2024-08-24 22:22:00,-10
F0189,IndiGo,AMD,BLR,2024-07-04 21:03:00,2024-07-04 23:08:00,8
F0190,SpiceJet,AMD,CCU,2024-07-29 10:57:00,2024-07-29 13:35:00,25
F0191,Akasa Air,DEL,AMD,2024-08-12 15:49:00,2024-08-12 17:36:00,48
F0192,IndiGo,PNQ,DEL,2024-07-22 06:04:00,2024-07-22 07:17:00,7
F0193,Vistara,HYD,AMD,2024-08-22 13:42:00,2024-08-22 15:29:00,-1
F0194,Go First,DEL,HYD,2024-08-17 16:56:00,2024-08-17 19:17:00,-10
F0195,Air India,PNQ,AMD,2024-08-04 15:56:00,2024-08-04 18:30:00,15
F0196,Akasa Air,BOM,DEL,2024-08-11 18:12:00,2024-08-11 20:56:00,6
F0197,Air India,BLR,BOM,2024-08-27 09:52:00,2024-08-27 11:03:00,13
F0198,Vistara,HYD,PNQ,2024-07-07 10:05:00,2024-07-07 12:25:00,12
F0199,SpiceJet,HYD,PNQ,2024-07-08 20:49:00,2024-07-08 21:50:00,18
F0200,SpiceJet,BOM,BLR,2024-08-17 11:42:00,2024-08-17 13:04:00,-10
F0201,Air India,AMD,HYD,2024-08-15 09:08:00,2024-08-15 10:30:00,16
F0202,Go First,MAA,BLR,2024-08-20 06:42:00,2024-08-20 09:00:00,-10
F0203,Go First,BOM,CCU,2024-08-22 09:27:00,2024-08-22 12:18:00,-7
F0204,SpiceJet,DEL,AMD,2024-07-08 09:34:00,2024-07-08 12:00:00,46
F0205,Akasa Air,PNQ,MAA,2024-07-08 15:33:00,2024-07-08 17:34:00,32
F0206,Go First,AMD,DEL,2024-07-20 21:09:00,2024-07-20 22:29:00,24
F0207,Air India,DEL,CCU,2024-07-17 07:13:00,2024-07-17 08:25:00,9
F0208,SpiceJet,BOM,MAA,2024-08-14 05:56:00,2024-08-14 08:21:00,19
F0209,IndiGo,CCU,HYD,2024-07-01 18:30:00,2024-07-01 21:03:00,59
F0210,Air India,DEL,BOM,2024-08-17 12:00:00,2024-08-17 14:41:00,22
F0211,IndiGo,AMD,BLR,2024-07-23 13:00:00,2024-07-23 14:59:00,47
F0212,Vistara,BOM,CCU,2024-08-18 12:18:00,2024-08-18 15:10:00,-2
F0213,Vistara,DEL,BOM,2024-08-10 07:04:00,2024-08-10 09:02:00,0
F0214,Akasa Air,DEL,BOM,2024-08-22 06:42:00,2024-08-22 08:14:00,-1
F0215,Go First,BLR,PNQ,2024-08-15 18:00:00,2024-08-15 20:01:00,10
F0216,Vistara,PNQ,DEL,2024-07-27 10:42:00,2024-07-27 12:25:00,35
F0217,Air India,BLR,HYD,2024-07-17 12:05:00,2024-07-17 14:34:00,3
F0218,Akasa Air,PNQ,CCU,2024-08-08 22:46:00,2024-08-09 00:13:00,1
F0219,Go First,CCU,MAA,2024-07-11 20:26:00,2024-07-11 21:42:00,20
F0220,Go First,BLR,PNQ,2024-08-29 21:51:00,2024-08-29 22:57:00,20
F0221,Go First,BOM,HYD,2024-07-07 15:31:00,2024-07-07 17:25:00,-10
F0222,IndiGo,CCU,DEL,2024-08-04 05:15:00,2024-08-04 07:17:00,-10
F0223,IndiGo,PNQ,BOM,2024-08-13 08:32:00,2024-08-13 10:57:00,6
F0224,Akasa Air,CCU,HYD,2024-07-27 10:55:00,2024-07-27 12:09:00,13
F0225,Vistara,PNQ,AMD,2024-08-09 05:26:00,2024-08-09 07:32:00,6
F0226,Vistara,DEL,CCU,2024-07-10 10:37:00,2024-07-10 12:13:00,-10
F0227,Air India,AMD,MAA,2024-08-23 16:26:00,2024-08-23 17:30:00,46
F0228,SpiceJet,CCU,HYD,2024-07-16 19:15:00,2024-07-16 21:53:00,14
F0229,Go First,PNQ,BOM,2024-07-06 20:29:00,2024-07-06 22:04:00,5
F0230,Akasa Air,PNQ,DEL,2024-08-29 08:06:00,2024-08-29 10:16:00,-10
F0231,Air India,HYD,PNQ,2024-07-30 14:40:00,2024-07-30 16:12:00,12
F0232,Vistara,BOM,DEL,2024-07-08 18:38:00,2024-07-08 20:15:00,31
F0233,Go First,BLR,MAA,2024-08-07 08:26:00,2024-08-07 11:13:00,8
F0234,SpiceJet,BLR,CCU,2024-08-19 22:27:00,2024-08-20 00:27:00,-4
F0235,IndiGo,CCU,BLR,2024-08-04 21:51:00,2024-08-04 23:11:00,-10
F0236,Vistara,BOM,DEL,2024-08-17 15:39:00,2024-08-17 18:38:00,-10
F0237,Vistara,AMD,BLR,2024-07-05 09:24:00,2024-07-05 11:05:00,30
F0238,IndiGo,BOM,AMD,2024-07-31 14:15:00,2024-07-31 16:47:00,22
F0239,SpiceJet,BLR,MAA,2024-08-15 15:12:00,2024-08-15 16:23:00,17
F0240,IndiGo,PNQ,DEL,2024-08-19 20:27:00,2024-08-19 23:01:00,1
F0241,Akasa Air,BOM,BLR,2024-08-26 09:23:00,2024-08-26 12:14:00,27
F0242,Akasa Air,BOM,HYD,2024-08-28 16:49:00,2024-08-28 19:18:00,9
F0243,SpiceJet,CCU,PNQ,2024-08-11 10:03:00,2024-08-11 11:44:00,0
F0244,SpiceJet,DEL,BLR,2024-07-01 07:42:00,2024-07-01 10:38:00,20
F0245,IndiGo,PNQ,AMD,2024-08-28 13:52:00,2024-08-28 16:20:00,70
F0246,Akasa Air,MAA,HYD,2024-07-09 21:21:00,2024-07-09 23:14:00,15
F0247,SpiceJet,BLR,CCU,2024-08-10 11:15:00,2024-08-10 13:30:00,64
F0248,Vistara,BLR,BOM,2024-08-07 14:34:00,2024-08-07 16:56:00,21
F0249,SpiceJet,HYD,BLR,2024-08-15 18:52:00,2024-08-15 20:14:00,26
F0250,Air India,BLR,DEL,2024-07-24 07:31:00,2024-07-24 08:44:00,12
F0251,SpiceJet,PNQ,BLR,2024-07-13 22:32:00,2024-07-14 00:06:00,-10
F0252,IndiGo,HYD,MAA,2024-08-20 17:41:00,2024-08-20 20:28:00,6
F0253,Air India,CCU,BLR,2024-08-11 10:41:00,2024-08-11 12:17:00,27
F0254,Akasa Air,AMD,HYD,2024-07-05 14:20:00,2024-07-05 15:59:00,42
F0255,IndiGo,MAA,AMD,2024-08-06 10:46:00,2024-08-06 11:54:00,36
F0256,IndiGo,BLR,AMD,2024-08-10 13:57:00,2024-08-10 15:32:00,26
F0257,Akasa Air,PNQ,BLR,2024-07-02 12:01:00,2024-07-02 14:55:00,27
F0258,Vistara,PNQ,AMD,2024-08-16 08:37:00,2024-08-16 09:42:00,2
F0259,SpiceJet,AMD,BLR,2024-07-30 05:55:00,2024-07-30 08:52:00,1
F0260,Vistara,BLR,AMD,2024-08-15 09:53:00,2024-08-15 12:01:00,2
F0261,Vistara,MAA,AMD,2024-07-22 19:29:00,2024-07-22 22:18:00,11
F0262,Vistara,BLR,MAA,2024-07-16 20:11:00,2024-07-16 23:04:00,40
F0263,Go First,HYD,CCU,2024-07-13 16:13:00,2024-07-13 18:18:00,-4
F0264,Air India,AMD,HYD,2024-08-01 13:04:00,2024-08-01 15:42:00,26
F0265,Vistara,CCU,MAA,2024-07-21 15:30:00,2024-07-21 17:31:00,11
F0266,IndiGo,PNQ,BLR,2024-07-28 18:50:00,2024-07-28 20:55:00,-3
F0267,Akasa Air,MAA,HYD,2024-07-06 09:09:00,2024-07-06 10:23:00,-10
F0268,Akasa Air,BLR,CCU,2024-07-14 05:01:00,2024-07-14 06:13:00,2
F0269,SpiceJet,DEL,CCU,2024-07-11 12:30:00,2024-07-11 13:46:00,-10
F0270,Vistara,MAA,AMD,2024-07-12 05:28:00,2024-07-12 07:50:00,-2
F0271,SpiceJet,BOM,PNQ,2024-07-14 07:53:00,2024-07-14 09:26:00,25
F0272,Go First,AMD,BOM,2024-08-19 13:29:00,2024-08-19 14:55:00,7
F0273,Vistara,HYD,BOM,2024-07-05 15:05:00,2024-07-05 16:58:00,27
F0274,SpiceJet,BLR,CCU,2024-07-29 20:16:00,2024-07-29 21:16:00,-10
F0275,SpiceJet,PNQ,DEL,2024-07-10 11:18:00,2024-07-10 13:52:00,-8
F0276,SpiceJet,AMD,HYD,2024-07-28 06:53:00,2024-07-28 09:45:00,36
F0277,IndiGo,PNQ,HYD,2024-08-28 20:10:00,2024-08-28 21:15:00,31
F0278,Akasa Air,CCU,AMD,2024-07-11 05:48:00,2024-07-11 06:57:00,18
F0279,Air India,BOM,DEL,2024-07-25 17:14:00,2024-07-25 18:24:00,27
F0280,Go First,CCU,BOM,2024-08-29 11:03:00,2024-08-29 13:31:00,40
F0281,Go First,DEL,HYD,2024-08-01 08:46:00,2024-08-01 10:10:00,6
F0282,Vistara,PNQ,AMD,2024-07-24 12:30:00,2024-07-24 14:55:00,10
F0283,IndiGo,PNQ,DEL,2024-08-24 07:03:00,2024-08-24 08:05:00,23
F0284,Air India,BOM,BLR,2024-08-13 19:14:00,2024-08-13 20:50:00,-3
F0285,Vistara,MAA,AMD,2024-07-29 06:36:00,2024-07-29 09:34:00,40
F0286,Go First,PNQ,MAA,2024-07-31 07:34:00,2024-07-31 09:09:00,0
F0287,IndiGo,BLR,AMD,2024-07-03 16:51:00,2024-07-03 18:32:00,32
F0288,Vistara,AMD,DEL,2024-08-18 17:14:00,2024-08-18 20:03:00,10
F0289,IndiGo,PNQ,DEL,2024-07-10 16:01:00,2024-07-10 18:18:00,7
F0290,Vistara,BLR,AMD,2024-07-21 08:37:00,2024-07-21 11:22:00,-10
F0291,Air India,CCU,MAA,2024-08-27 08:43:00,2024-08-27 11:02:00,21
F0292,SpiceJet,AMD,BLR,2024-08-07 12:31:00,2024-08-07 13:54:00,17
F0293,Go First,BOM,MAA,2024-08-15 18:08:00,2024-08-15 20:53:00,-8
F0294,IndiGo,AMD,BLR,2024-07-22 12:04:00,2024-07-22 14:13:00,6
F0295,Go First,HYD,DEL,2024-08-05 18:01:00,2024-08-05 20:05:00,17
F0296,Vistara,BOM,DEL,2024-07-04 21:42:00,2024-07-04 23:42:00,9
F0297,Air India,BOM,CCU,2024-07-27 07:17:00,2024-07-27 10:01:00,46
F0298,Air India,MAA,HYD,2024-08-07 06:13:00,2024-08-07 07:43:00,28
F0299,Akasa Air,BLR,AMD,2024-08-19 13:29:00,2024-08-19 16:21:00,30
F0300,Air India,PNQ,MAA,2024-07-28 07:55:00,2024-07-28 09:50:00,20
